,month,arrival,departure,passenger,country,region
125,202001,18233,18166,36399,라오스,동남아
126,202001,84596,88749,173345,말레이시아,동남아
127,202001,6132,7091,13223,미얀마,동남아
128,202001,351038,357237,708275,베트남,동남아
129,202001,1654,1733,3387,브루나이,동남아
130,202001,54954,63657,118611,싱가포르,동남아
131,202001,35149,38555,73704,인도네시아,동남아
132,202001,21190,22305,43495,캄보디아,동남아
133,202001,177097,180152,357249,태국,동남아
134,202001,172705,180396,353101,필리핀,동남아
135,202001,155590,145179,300769,대만,동북아
136,202001,36822,33488,70310,마카오,동북아
137,202001,11368,11041,22409,몽골,동북아
138,202001,109160,108381,217541,홍콩,동북아
139,202001,3798,5175,8973,멕시코,미주
140,202001,114189,137372,251561,미국,미주
141,202001,0,0,0,브라질,미주
142,202001,0,0,0,칠레,미주
143,202001,17088,19563,36651,캐나다,미주
144,202001,0,0,0,페루,미주
145,202001,10529,10548,21077,네덜란드,유럽
146,202001,0,0,0,노르웨이,유럽
147,202001,31138,36404,67542,독일,유럽
148,202001,30116,32780,62896,러시아,유럽
149,202001,0,0,0,룩셈부르크,유럽
150,202001,0,0,0,벨기에,유럽
151,202001,0,0,0,스웨덴,유럽
152,202001,13140,13394,26534,스페인,유럽
153,202001,0,0,0,아제르바이잔,유럽
154,202001,16361,17889,34250,영국,유럽
155,202001,2206,2206,4412,오스트리아,유럽
156,202001,10173,11026,21199,우즈베키스탄,유럽
157,202001,18978,19358,38336,이탈리아,유럽
158,202001,6365,6322,12687,체코,유럽
159,202001,5634,6480,12114,카자흐스탄,유럽
160,202001,22398,22532,44930,터키,유럽
161,202001,4821,5459,10280,폴란드,유럽
162,202001,23472,25071,48543,프랑스,유럽
163,202001,8571,9190,17761,핀란드,유럽
164,202001,2795,3010,5805,헝가리,유럽
165,202001,324420,352841,677261,일본,일본
166,202001,520362,502248,1022610,중국,중국
167,202001,29097,31931,61028,아랍에미리트,중동
168,202001,2218,2573,4791,이스라엘,중동
169,202001,8925,10336,19261,카타르,중동
170,202002,2083,2161,4244,네팔,기타
171,202002,911,1090,2001,몰디브,기타
172,202002,1113,1423,2536,스리랑카,기타
173,202002,2606,2187,4793,에티오피아,기타
174,202002,7703,7586,15289,인도,기타
175,202002,31837,27322,59159,괌,대양주
176,202002,9296,9266,18562,뉴질랜드,대양주
177,202002,18375,16635,35010,사이판,대양주
178,202002,996,1025,2021,팔라우,대양주
179,202002,22363,18819,41182,하와이,대양주
180,202002,18855,21668,40523,호주,대양주
181,202002,7831,5402,13233,라오스,동남아
182,202002,51486,42952,94438,말레이시아,동남아
183,202002,4646,3376,8022,미얀마,동남아
184,202002,181048,143197,324245,베트남,동남아
185,202002,1261,1016,2277,브루나이,동남아
186,202002,26326,24479,50805,싱가포르,동남아
187,202002,29208,27753,56961,인도네시아,동남아
188,202002,10389,8123,18512,캄보디아,동남아
189,202002,87817,64081,151898,태국,동남아
190,202002,123102,100243,223345,필리핀,동남아
191,202002,52636,62562,115198,대만,동북아
192,202002,1485,2519,4004,마카오,동북아
193,202002,6337,7867,14204,몽골,동북아
194,202002,30624,43941,74565,홍콩,동북아
195,202002,3710,3882,7592,멕시코,미주
196,202002,97294,89500,186794,미국,미주
197,202002,0,0,0,브라질,미주
198,202002,0,0,0,칠레,미주
199,202002,14470,14409,28879,캐나다,미주
200,202002,0,0,0,페루,미주
201,202002,9244,8465,17709,네덜란드,유럽
202,202002,0,0,0,노르웨이,유럽
203,202002,29349,23718,53067,독일,유럽
204,202002,27410,25483,52893,러시아,유럽
205,202002,0,0,0,룩셈부르크,유럽
206,202002,0,0,0,벨기에,유럽
207,202002,0,0,0,스웨덴,유럽
208,202002,9937,7172,17109,스페인,유럽
209,202002,0,0,0,아제르바이잔,유럽
210,202002,15747,13128,28875,영국,유럽
211,202002,1779,1601,3380,오스트리아,유럽
212,202002,10056,8233,18289,우즈베키스탄,유럽
213,202002,16552,11390,27942,이탈리아,유럽
214,202002,4978,4111,9089,체코,유럽
215,202002,4564,4711,9275,카자흐스탄,유럽
216,202002,19317,14074,33391,터키,유럽
217,202002,4639,4088,8727,폴란드,유럽
218,202002,21351,16589,37940,프랑스,유럽
219,202002,8503,6457,14960,핀란드,유럽
220,202002,2480,2277,4757,헝가리,유럽
221,202002,244721,239979,484700,일본,일본
222,202002,115128,109870,224998,중국,중국
223,202002,24723,21953,46676,아랍에미리트,중동
224,202002,2002,2410,4412,이스라엘,중동
225,202002,9561,6998,16559,카타르,중동
226,202003,1226,1147,2373,네팔,기타
227,202003,126,0,126,몰디브,기타
228,202003,394,917,1311,스리랑카,기타
229,202003,1324,631,1955,에티오피아,기타
230,202003,688,700,1388,인도,기타
231,202003,7309,4594,11903,괌,대양주
232,202003,1528,641,2169,뉴질랜드,대양주
233,202003,3389,2145,5534,사이판,대양주
234,202003,607,493,1100,팔라우,대양주
235,202003,6291,2322,8613,하와이,대양주
236,202003,3580,2014,5594,호주,대양주
237,202003,106,0,106,라오스,동남아
238,202003,6334,4093,10427,말레이시아,동남아
239,202003,1128,1369,2497,미얀마,동남아
240,202003,6246,3695,9941,베트남,동남아
241,202003,65,58,123,브루나이,동남아
242,202003,3300,1891,5191,싱가포르,동남아
243,202003,10924,6899,17823,인도네시아,동남아
244,202003,4048,4320,8368,캄보디아,동남아
245,202003,18986,12646,31632,태국,동남아
246,202003,30752,16073,46825,필리핀,동남아
247,202003,3880,1634,5514,대만,동북아
248,202003,252,0,252,몽골,동북아
249,202003,98,211,309,홍콩,동북아
250,202003,1248,1066,2314,멕시코,미주
251,202003,44956,17118,62074,미국,미주
252,202003,0,0,0,브라질,미주
253,202003,0,0,0,칠레,미주
254,202003,8238,6102,14340,캐나다,미주
255,202003,0,0,0,페루,미주
256,202003,4049,1698,5747,네덜란드,유럽
257,202003,0,0,0,노르웨이,유럽
258,202003,7703,3254,10957,독일,유럽
259,202003,2587,4608,7195,러시아,유럽
260,202003,0,0,0,룩셈부르크,유럽
261,202003,0,0,0,벨기에,유럽
262,202003,0,0,0,스웨덴,유럽
263,202003,1034,409,1443,스페인,유럽
264,202003,0,0,0,아제르바이잔,유럽
265,202003,6680,2181,8861,영국,유럽
266,202003,400,139,539,오스트리아,유럽
267,202003,1391,142,1533,이탈리아,유럽
268,202003,519,121,640,체코,유럽
269,202003,1475,1792,3267,카자흐스탄,유럽
270,202003,0,0,0,키르기즈스탄,유럽
271,202003,296,106,402,터키,유럽
272,202003,820,693,1513,폴란드,유럽
273,202003,7920,1990,9910,프랑스,유럽
274,202003,1103,733,1836,핀란드,유럽
275,202003,136,75,211,헝가리,유럽
276,202003,24149,21272,45421,일본,일본
277,202003,17122,61517,78639,중국,중국
278,202003,6734,4212,10946,아랍에미리트,중동
279,202003,7215,1420,8635,카타르,중동
